vendor_id,pickup_dayofweek,pickup_hour,dropoff_dayofweek,dropoff_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,speed
Quito,3,1,3,1,-78.52336871,-0.2432279454,-78.50732446,-0.2427941484,1109,4425,469,24.890625
Quito,3,1,3,1,-78.51850114,-0.2462763542,-78.50767726,-0.2411268872,382,1949,90,24.02876712
Quito,3,1,3,1,-78.48466626,-0.1973122973,-78.48444108,-0.1970816246,107,61,47,3.66
Quito,3,1,3,1,-78.5436753,-0.2851518963,-78.5487839,-0.2754058,878,3129,389,23.03558282
Quito,3,1,3,1,-78.48483736,-0.1964459788,-78.49871394,-0.2000493878,516,2089,234,26.66808511
Quito,3,1,3,2,-78.49866337,-0.26369274,-78.5447629,-0.33323902,1599,18362,182,46.65010586
Quito,3,2,3,2,-78.50506683,-0.177106092,-78.4911933,-0.1895117,1111,4610,361,22.128
Quito,3,1,3,2,-78.46529744,-0.1586606315,-78.48561456,-0.126527112,2332,6576,1411,25.70423453
Quito,3,2,3,2,-78.50337059,-0.1452303448,-78.48082292,-0.1530765296,675,3294,34,18.49984399
Quito,3,2,3,2,-78.54475238,-0.333183962,-78.49928978,-0.26201566,1689,18953,333,50.31769912
Quito,3,2,3,3,-78.50506752,-0.1770814654,-78.49758302,-0.1611068742,640,5207,128,36.61171875
Quito,3,2,3,3,-78.50079384,-0.1335126347,-78.48187181,-0.2028908719,1570,10488,381,31.75508831
Quito,3,2,3,3,-78.41717995,-0.1364374436,-78.29581268,-0.1086280839,3367,38708,329,45.86859776
Quito,3,2,3,3,-78.48170918,-0.1530768997,-78.48364601,-0.1532480032,3366,217,3327,20.03076923
Quito,3,3,3,3,-78.29585658,-0.1087619165,-78.29673953,-0.109756933,1143,510,989,11.92207792
Quito,3,4,3,4,-78.50613124,-0.1816289523,-78.48844217,-0.1975122514,920,5213,317,31.12238806
Quito,3,4,3,4,-78.50336119,-0.1452447835,-78.49177617,-0.1726065057,742,4479,90,24.73067485
Quito,3,4,3,4,-78.29678839,-0.1098374348,-78.3615196,-0.1268065477,2253,23189,454,46.40377988
Quito,3,1,3,1,-78.52336871,-0.2432279454,-78.50732446,-0.2427941484,1109,4425,469,24.890625
Quito,3,4,3,4,-78.50613124,-0.1816289523,-78.48844217,-0.1975122514,920,5213,317,31.12238806
Quito,3,4,3,5,-78.49462574,-0.2533939886,-78.51270508,-0.239444888,772,5012,132,28.1925
Quito,3,4,3,5,-78.50596365,-0.1813232653,-78.50676775,-0.230553531,745,7154,43,36.68717949
Quito,3,5,3,5,-78.50487498,-0.1768882357,-78.51574007,-0.218407462,1166,6983,209,26.26833856
Quito,3,4,3,5,-78.50596365,-0.1813232653,-78.50676775,-0.230553531,745,7154,43,36.68717949
Quito,4,7,4,8,-78.54761848,-0.2601929809,-78.5538887,-0.3045417967,1424,6296,580,26.8549763
Quito,3,5,3,5,-78.50490957,-0.1805013626,-78.49816032,-0.1878930888,374,2254,118,31.696875
Quito,3,5,3,5,-78.50490957,-0.1805013626,-78.49816032,-0.1878930888,374,2254,118,31.696875
Quito,3,5,3,5,-78.48447552,-0.1716636336,-78.4843003,-0.171597,127,21,107,3.78
Quito,3,4,3,6,-78.50436465,-0.1762477074,-78.54414118,-0.2830296608,6834,17018,4632,27.82234332
Quito,3,5,3,6,-78.54093869,-0.2755396885,-78.55339572,-0.3236273114,1897,6318,1073,27.60291262
Quito,3,5,3,6,-78.50463456,-0.1805477466,-78.46920625,-0.1407709166,1723,8572,727,30.98313253
Quito,3,6,3,6,-78.50477047,-0.1768532842,-78.49943561,-0.161836588,1196,6264,428,29.3625
Quito,3,6,3,6,-78.50264053,-0.2045888082,-78.48214192,-0.20178462,1757,5777,987,27.00935065
Quito,5,6,5,6,-78.48026081,-0.1770778285,-78.45244526,-0.1906008627,974,5456,376,32.84548495
Quito,3,6,3,6,-78.49018831,-0.1898673967,-78.48851104,-0.1704081876,1044,2824,563,21.13596674
Quito,3,6,3,7,-78.50515852,-0.176942396,-78.49292256,-0.1910351767,753,4109,230,28.28374761
Quito,3,6,3,7,-78.48207164,-0.20174036,-78.50723813,-0.2041219101,1653,7468,615,25.90057803
Quito,3,7,3,7,-78.50742103,-0.2041754941,-78.50425665,-0.1824236854,411,3848,104,45.12312704
Quito,3,6,3,7,-78.36551223,-0.1149498339,-78.41742858,-0.1366455763,3359,29291,1320,51.71535066
Quito,3,6,3,7,-78.53797627,-0.2680642705,-78.52894973,-0.2544351272,2276,2854,370,5.390556139
Quito,3,7,3,7,-78.53783868,-0.2679550897,-78.5439155,-0.28364118,1130,4551,375,21.70013245
Quito,3,7,3,7,-78.48264938,-0.1997776911,-78.5071109,-0.22727502,1285,5717,589,29.57068966
Quito,3,7,3,8,-78.40999597,-0.1878086255,-78.39735618,-0.21300946,1006,8609,73,33.21800643
Quito,3,8,3,8,-78.50612833,-0.2200424296,-78.52169247,-0.2569238772,1038,5782,302,28.28152174
Quito,3,8,3,8,-78.52175642,-0.257047231,-78.53960129,-0.2549619928,478,3010,99,28.59102902
Quito,3,8,3,8,-78.53787,-0.2680406999,-78.53764914,-0.2863605255,879,3434,320,22.11520572
Quito,3,8,3,10,-78.48216991,-0.1945615378,-78.47799845,-0.1457218818,5432,13202,163,9.020155627
Quito,3,10,3,10,-78.49227,-0.1226317,-78.48443168,-0.16912366,908,6579,281,37.77416268
Quito,4,5,4,5,-78.49537491,-0.1275490484,-78.50322832,-0.20544934,799,9589,132,51.75472264
Quito,4,6,4,6,-78.5091368,-0.143068,-78.4896527,-0.1765650828,751,6500,86,35.18796992
Quito,4,8,4,8,-78.49688954,-0.2044336224,-78.4969579,-0.2045074,200,171,137,9.771428571
Quito,3,3,3,6,-78.49723848,-0.2614643241,-78.54632941,-0.3350937564,12340,41360,7289,29.47851911
Quito,4,7,4,8,-78.49959744,-0.1467121817,-78.47415857,-0.1262640657,1255,7843,418,33.73333333
Quito,4,7,4,8,-78.47389629,-0.1247958921,-78.50253268,-0.18683672,1972,10626,700,30.07358491
Quito,4,8,4,8,-78.49715282,-0.2595256284,-78.5027469,-0.20554296,1642,10273,370,29.0745283
Quito,4,8,4,8,-78.50469964,-0.1769840764,-78.45121927,-0.09609947314,1811,17392,197,38.79256506
Quito,4,8,4,9,-78.50258956,-0.2055051663,-78.49642552,-0.2587050029,1968,13306,643,36.15215094
Quito,4,8,4,9,-78.48249711,-0.1861336766,-78.46124245,-0.1517829344,1136,7427,141,26.87155779
Quito,4,8,4,9,-78.43457557,-0.1139563443,-78.47115747,-0.2333795283,1798,22798,255,53.1904083
Quito,4,9,4,9,-78.49995115,-0.1446506812,-78.47411501,-0.1731469019,1042,5814,357,30.55532847
Quito,4,10,4,10,-78.54676519,-0.2686481664,-78.5235172,-0.25156662,748,3639,332,31.49134615
Quito,5,12,5,12,-78.47830405,-0.1801977702,-78.5259066,-0.3114462903,1679,23091,217,56.85882353
Quito,4,10,4,10,-78.50460989,-0.176349432,-78.49797415,-0.1915866877,793,3317,323,25.40680851
Quito,4,10,4,10,-78.48438718,-0.1516589701,-78.52981006,-0.2717858107,2638,15898,372,25.25719329
Quito,4,10,4,11,-78.48739981,-0.2060407378,-78.49105124,-0.179569198,1589,3850,140,9.565217391
Quito,4,10,4,11,-78.51566039,-0.2184562649,-78.49263082,-0.199604015,1665,6207,614,21.26089439
